ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text
14304879,conradking,1455,0,,0,1956,23,This Trump Judicial Nominee Once Said Trans Kids Are Evidence Of 'Satan's Plan' https://t.co/D6LvyColvp
1475687646,MaRicky8675309,752,37,,0,355,62,RT @3lectric5heep: Daniel Greenfield: Why Obama Really Spied On Trump: ‘It’s not just ideology. It’s raw fear.’ https://t.co/K978f948Um @3l…
545474475,coton_luver,11370,1,,1,4498,119,#velshiruhle Dem Senator Merkley called out Trump's HHS Sec. Tom Price on the GOP's secret health care bill https://t.co/sHhUB4woM5
159110985,tdiaspro,4678,0,,0,5112,35,"Lawnmower Boy’ Wrote To Obama And Asked To Mow White House Lawn, But His Response Was WAY Different From Trump’s! https://t.co/gG43strgSz"
109909277,Schindog77,75,0,soirredeemable,0,147,1,@soirredeemable I love how all the people who can't deal with Trump being our President commented on your post. The… https://t.co/tDBM10t5BB
1321040010,wondermomwic,922,229,,0,565,71,"RT @NatashaBertrand: 1) Manafort allegedly disappeared w/Deripaska’s $$—not vice versa. 
2) He suddenly stopped trying to collect after Tru…"
311549242,tshep42,3385,5,,0,2914,148,RT @Independent: Sean Spicer 'doesn't think' he lied while working for Trump https://t.co/uuEk850vME
154881723,fahimdhaka2010,3995,0,,0,585,34,Trump Imposing New Sanctions on North Korea https://t.co/LhEt63dRQt https://t.co/ZBhweo1SWu
68045552,AmyCPhotos,184,3346,,0,233,3,RT @SheriffClarke: It matters NOT here whether a warrant authorized wiretaps. A warrant this highly political should have been refused. htt…
868805886,MarieA51494842,2978,3,,0,3870,81,"RT @gbroh10: MT @JrcheneyJohn: Trump wants Tax Cuts &amp; Tax Reform. Problem, Lack Of Leadership! https://t.co/miZgvWlJy9 #MooreSenate #DitchM…"
280754415,carsonp1220,18,456,,0,101,1,"RT @washingtonpost: Jimmy Kimmel doubles down, slams Sen. Bill Cassidy, Trump and ""Fox &amp; Friends"" over health-care bill https://t.co/iy3kNf…"
103437415,unclevic27,1010,0,,0,2090,18,New Round Of Twitter Attacks Takes Aim At Barron Trump https://t.co/bwQqV2mo8T
701074879278407681,AjadeanPiper,108,65,,0,240,6,RT @RMSchneiderman: How the right lost its mind and embraced Donald Trump https://t.co/4K3oedZEpe @NaveedAJamali @MalcolmNance @maddow @Joy…
823552235607101441,vettesandplanes,751,2295,,0,714,2,"RT @SharylAttkisson: It looks like Obama did spy on Trump, just as he apparently did to me. Wish me luck in my next hearing v. DOJ Fri. htt…"
2763596818,hellnk,1091,33,,0,1896,15,RT @wiley_steve: Watergate 2.0: Obama Regime Wiretapped Trump Campaign Chair During And After Election https://t.co/JCT28sWpsR https://t.co…
270659378,Jhansi_E,216,69502,,0,110,1,RT @lustforgays: melania when trump dies https://t.co/KudjG5AJiK
875871461256421376,JackJoh32194903,24,1834,,0,127,0,"RT @TomiLahren: My friend had an Uber driver play ""F Donald Trump."" Imagine if an artist had an ""F Obama"" song. The double standard is amaz…"
2895089719,pgt_kt,17,156,,0,56,5,"RT @BarrettBrown_: Peter Thiel, whose firm Palantir was caught planning criminal black ops, may be offered top intelligence post https://t.…"
776585612329574400,stanovich_susan,3432,3740,,0,3321,4,RT @JackPosobiec: I'm just going to say it - the whole Russian conspiracy theory is likely just to cover the fact they spied on Trump
902179167189557248,AdmAfnan123,33,259,,0,140,0,"RT @Impeach_D_Trump: Trump says 1) Obama 2) illegally 3) tapped ""his"" wires at Trump Tower.

Story says 1) the FBI 2) legally 3) tapped Man…"
805432001939591168,magliaro_tony,226,20,,0,81,1,RT @chuckwoolery: FOLLOW THE BOUNCING BONO U2 Delayed Album Because Trump Disrupted the 'Moral Arc of the Universe' https://t.co/yy87X3li6y…
27522964,vdare,36025,65,,0,4516,543,"RT @kausmickey: ""Experts on Alabama politics in Trump’s administration were largely sidelined ..."" https://t.co/b0Vq9i82gk"
2984014208,DebGoBlue,1591,8,,0,1562,31,"RT @SafetyPinDaily: Mueller requests White House documents related to Trump conduct: report | Via @thehill
https://t.co/xt543lbXIK"
1941280748,susankbloom,36,2,,0,50,2,"RT @tcmackin: @RepErikPaulsen  I read in the Strib this morning that you feel ""misled"" by the Trump administration. First time? https://t.c…"
3133480239,somaliimmigrant,237,163,,0,511,13,"RT @guardian: Iranian president Rouhani condemns 'ignorant, absurd, hateful' Trump speech https://t.co/Cb6YWk2XhS"
713786570545860608,heartless_pe,774,5010,,0,296,7,"RT @KeithOlbermann: $100 to the first world leader who runs with the nickname thing and calls Trump ""President Pussy-Grabber"" at the U.N."
2308742540,RafiCheeky,182,7792,,0,479,6,RT @caurlaus: Read the replies and tell me Trump supporters aren't racist and insensitive little pieces of shit. https://t.co/de0WQFyGDH
